company,industry,country,year,month,stage,company_size,layoffs_count,layoffs_pct,funds_raised_m,reason,stock_impact_pct,severity
Zoom,EdTech,Netherlands,2023,10,Private Equity,117717,21490,0.1826,2557.8,Merger/Acquisition,,High
Twilio,Social Media,UK,2021,9,Series C,70006,3295,0.0471,239.1,Over-hiring Post-COVID,,Low
Better.com,Gaming,Germany,2022,10,Series A,124838,14781,0.1184,12.6,Regulatory Pressure,,Medium
Coinbase,Cybersecurity,USA,2022,7,Series B,28343,2839,0.1002,159.6,Merger/Acquisition,,Medium
Better.com,HealthTech,Australia,2024,9,Series C,140618,12055,0.0857,502.0,Cost Cutting,,Medium
Twitter/X,EdTech,Brazil,2022,9,Public,103564,12340,0.1192,5785.5,IPO Preparation,-1.34,Medium
Uber,HealthTech,USA,2022,3,Series C,126917,3714,0.0293,169.5,Merger/Acquisition,,Low
Microsoft,E-Commerce,UK,2024,4,Series C,117085,23690,0.2023,285.1,IPO Preparation,,High
Klarna,Social Media,USA,2020,2,Series C,30846,308,0.01,165.8,Market Downturn,,Low
Oracle,Gaming,Germany,2024,10,Series D+,123652,20177,0.1632,1005.7,Restructuring,,High
Coinbase,Gaming,UK,2023,3,Series D+,112269,10539,0.0939,367.6,Cost Cutting,,Medium
Twilio,Logistics,USA,2024,11,Public,102891,2708,0.0263,4399.7,Cost Cutting,-7.18,Low
Unity,SaaS,USA,2022,11,Series D+,73643,10029,0.1362,478.6,IPO Preparation,,Medium
Salesforce,Logistics,USA,2020,5,Public,37287,372,0.01,5253.6,Market Downturn,-3.89,Low
Klarna,E-Commerce,UK,2023,5,Series B,34083,4198,0.1232,102.4,Market Downturn,,Medium
Gorillas,E-Commerce,Germany,2024,6,Public,144135,1441,0.01,5353.5,Over-hiring Post-COVID,-4.15,Low
LinkedIn,Social Media,USA,2023,7,Public,122443,19211,0.1569,5044.7,Restructuring,-4.17,High
Unity,Logistics,Canada,2021,7,Series D+,111733,5145,0.0461,484.3,Merger/Acquisition,,Low
Peloton,Cybersecurity,Canada,2023,1,Series C,15425,1294,0.0839,375.2,Over-hiring Post-COVID,,Medium
Klarna,Cybersecurity,USA,2023,2,Series D+,83684,12009,0.1435,784.4,Merger/Acquisition,,Medium
Better.com,Social Media,USA,2023,12,Public,77015,4482,0.0582,3022.9,Merger/Acquisition,-4.37,Medium
Zoom,Hardware,Canada,2023,9,Series C,136927,15796,0.1154,568.9,Merger/Acquisition,,Medium
Wayfair,SaaS,Singapore,2024,10,Public,46569,465,0.01,5952.9,Over-hiring Post-COVID,-10.16,Low
Dropbox,Cybersecurity,USA,2023,2,Private Equity,101354,17277,0.1705,1408.0,Cost Cutting,,High
Better.com,AI/ML,USA,2021,6,Series A,54971,14358,0.2612,62.6,Market Downturn,,High
Google,FinTech,USA,2023,11,Series D+,33205,11401,0.3434,1389.4,Cost Cutting,,High
Airbnb,Social Media,Germany,2020,11,Public,129001,16420,0.1273,4709.3,Restructuring,0.32,Medium
PayPal,Social Media,USA,2022,1,Series B,116861,21392,0.1831,136.7,Over-hiring Post-COVID,,High
Peloton,Cloud Computing,USA,2022,3,Public,87773,877,0.01,3024.0,Regulatory Pressure,-2.88,Low
Google,EdTech,India,2020,2,Series D+,23741,5703,0.2402,752.9,Restructuring,,High
LinkedIn,EdTech,Germany,2022,3,Public,51318,9344,0.1821,4601.9,Market Downturn,-2.42,High
Wayfair,AI/ML,USA,2021,5,Series A,92807,7543,0.0813,43.0,Market Downturn,,Medium
Shopify,Logistics,USA,2024,11,Public,67420,14763,0.219,5665.5,Product Pivot,-1.67,High
Dropbox,Hardware,Germany,2024,10,Series C,119142,11871,0.0996,367.2,Restructuring,,Medium
Amazon,E-Commerce,USA,2020,6,Series B,65953,5497,0.0834,131.4,Regulatory Pressure,,Medium
Robinhood,E-Commerce,USA,2024,9,Series D+,23189,3664,0.158,412.6,Cost Cutting,,High
Amazon,HealthTech,Netherlands,2023,12,Public,139824,4884,0.0349,3123.1,IPO Preparation,-11.84,Low
eBay,AI/ML,USA,2022,11,Private Equity,31344,6323,0.2017,1172.2,Regulatory Pressure,,High
Oracle,Social Media,India,2020,10,Series D+,96187,3416,0.0355,709.7,Restructuring,,Low
Better.com,AI/ML,Singapore,2023,12,Series C,23865,859,0.036,426.1,Over-hiring Post-COVID,,Low
Stripe,AI/ML,USA,2023,12,Public,137598,6498,0.0472,2674.1,Market Downturn,-4.07,Low
Unity,AI/ML,USA,2023,4,Series D+,98803,17859,0.1808,685.6,Market Downturn,,High
eBay,EdTech,Germany,2020,7,Series D+,29023,2050,0.0707,1105.0,Restructuring,,Medium
Klarna,AI/ML,Netherlands,2020,6,Public,142054,1727,0.0122,4400.2,Regulatory Pressure,-7.21,Low
PayPal,SaaS,Singapore,2022,2,Public,112605,8056,0.0715,5920.8,Restructuring,-6.03,Medium
LinkedIn,FinTech,Canada,2022,10,Series B,49388,5799,0.1174,113.3,Merger/Acquisition,,Medium
Dell,E-Commerce,USA,2022,11,Public,114384,2919,0.0255,5513.6,Restructuring,-4.62,Low
Spotify,HealthTech,India,2022,11,Public,107468,2994,0.0279,4543.1,Merger/Acquisition,1.88,Low
Bolt,FinTech,USA,2024,11,Series D+,50610,14621,0.2889,1013.5,Regulatory Pressure,,High
Netflix,HealthTech,UK,2024,8,Series B,132065,6755,0.0512,45.8,Over-hiring Post-COVID,,Medium
Meta,Cloud Computing,USA,2022,7,Public,82501,7768,0.0942,4273.4,Over-hiring Post-COVID,3.78,Medium
Lyft,HealthTech,USA,2024,7,Series C,40267,3649,0.0906,335.6,Cost Cutting,,Medium
SAP,E-Commerce,Australia,2022,8,Public,30050,2593,0.0863,6067.4,Restructuring,-4.43,Medium
HP,E-Commerce,UK,2023,12,Public,145405,24676,0.1697,7985.9,Regulatory Pressure,7.36,High
Intel,AI/ML,USA,2022,12,Public,134542,26350,0.1959,4218.0,Regulatory Pressure,3.72,High
Dropbox,Gaming,USA,2023,11,Series B,98815,9439,0.0955,191.0,Cost Cutting,,Medium
IBM,Cloud Computing,France,2024,1,Public,95994,2023,0.0211,3682.0,IPO Preparation,-1.56,Low
Coinbase,SaaS,Canada,2023,1,Public,127924,28393,0.222,7657.3,Regulatory Pressure,-3.5,High
Opendoor,Social Media,USA,2022,8,Series D+,114355,12850,0.1124,1061.6,Product Pivot,,Medium
Amazon,Cybersecurity,USA,2023,4,Series B,83181,21496,0.2584,76.2,Over-hiring Post-COVID,,High
Wayfair,HealthTech,USA,2021,5,Public,101989,1019,0.01,5614.1,Market Downturn,-7.7,Low
Dropbox,Gaming,Singapore,2024,8,Series D+,131046,17774,0.1356,783.6,Merger/Acquisition,,Medium
Shopify,AI/ML,Germany,2023,5,Public,29400,8040,0.2735,6251.2,Product Pivot,-6.36,High
PayPal,EdTech,UK,2022,10,Series D+,14626,1341,0.0917,728.6,Market Downturn,,Medium
Shopify,Social Media,Germany,2023,4,Series C,111698,11388,0.102,263.1,Product Pivot,,Medium
Shopify,Hardware,USA,2023,12,Series C,79803,11462,0.1436,464.3,Cost Cutting,,Medium
Salesforce,Logistics,Australia,2020,6,Public,67561,5087,0.0753,4802.6,Cost Cutting,-12.45,Medium
IBM,Gaming,UK,2023,12,Public,17478,1661,0.095,6652.8,Merger/Acquisition,1.54,Medium
Gorillas,EdTech,USA,2022,5,Public,56844,5285,0.093,4549.3,Over-hiring Post-COVID,2.86,Medium
Better.com,Cloud Computing,USA,2023,7,Series D+,47148,3291,0.0698,1333.3,IPO Preparation,,Medium
Lyft,Hardware,UK,2024,10,Public,1555,339,0.2183,3643.3,Regulatory Pressure,-4.99,High
Twitter/X,AI/ML,Singapore,2024,7,Series B,76082,11936,0.1569,90.5,Merger/Acquisition,,High
Microsoft,Social Media,USA,2023,4,Private Equity,81714,11444,0.1401,2414.7,IPO Preparation,,Medium
Salesforce,Social Media,France,2023,12,Private Equity,108454,20029,0.1847,1233.0,Market Downturn,,High
Wayfair,Social Media,Canada,2021,5,Series A,39225,3877,0.0989,65.6,Regulatory Pressure,,Medium
Twilio,Cloud Computing,USA,2023,3,Series C,136827,7944,0.0581,407.0,Product Pivot,,Medium
Klarna,Hardware,USA,2022,4,Series C,53880,3868,0.0718,281.4,Merger/Acquisition,,Medium
SAP,HealthTech,USA,2023,4,Public,53833,6467,0.1201,1373.4,IPO Preparation,-3.13,Medium
Dell,Logistics,Canada,2022,3,Series C,42959,1514,0.0353,297.7,Restructuring,,Low
Twilio,SaaS,USA,2021,10,Series D+,117018,9358,0.08,832.5,Restructuring,,Medium
Uber,Cloud Computing,USA,2023,5,Series D+,36663,2885,0.0787,1173.5,Over-hiring Post-COVID,,Medium
Oracle,Cybersecurity,UK,2020,5,Series B,85230,24713,0.29,196.2,IPO Preparation,,High
Uber,Logistics,Canada,2023,11,Public,19976,199,0.01,3630.0,Merger/Acquisition,-9.39,Low
Coinbase,E-Commerce,USA,2022,7,Public,69080,7296,0.1056,6602.4,Market Downturn,4.31,Medium
eBay,AI/ML,USA,2020,4,Series A,106076,27373,0.2581,52.2,Restructuring,,High
Gorillas,Cloud Computing,UK,2023,4,Public,87093,11300,0.1297,7146.8,Over-hiring Post-COVID,5.15,Medium
eBay,EdTech,UK,2020,9,Series D+,109571,19752,0.1803,959.6,Merger/Acquisition,,High
Dropbox,Logistics,Australia,2022,6,Series A,115332,14760,0.128,8.9,Over-hiring Post-COVID,,Medium
Stripe,Cybersecurity,USA,2023,4,Series C,139079,9264,0.0666,281.3,Market Downturn,,Medium
Intel,E-Commerce,Australia,2020,2,Series D+,143690,1436,0.01,430.2,Restructuring,,Low
Meta,HealthTech,India,2024,6,Public,69182,9438,0.1364,4594.8,Regulatory Pressure,-2.4,Medium
Meta,Hardware,Germany,2020,2,Public,92213,5343,0.058,6960.0,Restructuring,-3.71,Medium
Opendoor,EdTech,India,2022,5,Series A,104560,5852,0.056,44.9,Restructuring,,Medium
Wayfair,Logistics,USA,2023,6,Series C,135986,10889,0.0801,437.8,IPO Preparation,,Medium
PayPal,AI/ML,USA,2022,4,Series D+,83530,21683,0.2596,909.4,Cost Cutting,,High
Meta,Hardware,India,2021,3,Public,120860,37755,0.3124,2403.3,IPO Preparation,-1.85,High
SAP,EdTech,UK,2022,7,Public,86473,11879,0.1374,41.7,Restructuring,-3.81,Medium
Twitter/X,E-Commerce,India,2022,2,Private Equity,135509,11222,0.0828,1589.3,Product Pivot,,Medium
Shopify,EdTech,USA,2024,11,Series D+,37231,961,0.0258,731.5,Cost Cutting,,Low
Unity,Hardware,Netherlands,2022,6,Series C,149072,23476,0.1575,182.8,Regulatory Pressure,,High
Google,FinTech,Germany,2023,4,Public,114860,30165,0.2626,1598.7,Merger/Acquisition,-10.04,High
Intel,SaaS,USA,2024,6,Series C,2250,225,0.1002,211.8,IPO Preparation,,Medium
eBay,Gaming,USA,2022,4,Private Equity,65518,655,0.01,1383.3,Cost Cutting,,Low
SAP,HealthTech,Canada,2024,4,Series C,135599,23540,0.1736,379.9,Cost Cutting,,High
Gorillas,E-Commerce,Australia,2022,4,Public,137317,27303,0.1988,5377.3,IPO Preparation,-1.65,High
Shopify,Hardware,UK,2024,9,Series C,87484,874,0.01,493.0,IPO Preparation,,Low
Unity,SaaS,Netherlands,2021,7,Series B,108483,14549,0.1341,70.3,Cost Cutting,,Medium
HP,SaaS,USA,2023,3,Series D+,28951,4519,0.1561,1081.9,Over-hiring Post-COVID,,High
Coinbase,EdTech,USA,2023,3,Series A,94243,10757,0.1142,40.8,Regulatory Pressure,,Medium
Twitter/X,Gaming,Netherlands,2022,6,Series C,71974,4083,0.0567,383.4,Product Pivot,,Medium
Twilio,SaaS,Netherlands,2023,6,Series A,12650,2546,0.2013,33.0,Market Downturn,,High
Twitter/X,Gaming,India,2023,4,Series C,13906,1219,0.0877,428.6,Restructuring,,Medium
Intel,EdTech,France,2020,9,Public,116547,1165,0.01,5590.4,Regulatory Pressure,-4.46,Low
SAP,Hardware,USA,2022,4,Public,124471,1244,0.01,3641.1,IPO Preparation,-10.2,Low
eBay,AI/ML,France,2023,9,Public,103657,22894,0.2209,4976.0,Cost Cutting,-7.76,High
eBay,FinTech,USA,2023,4,Series A,18825,3187,0.1693,36.2,Market Downturn,,High
Zoom,SaaS,USA,2024,2,Series B,94915,12057,0.127,143.5,IPO Preparation,,Medium
Bolt,Cloud Computing,USA,2023,2,Series C,141008,11954,0.0848,158.4,Over-hiring Post-COVID,,Medium
Better.com,FinTech,USA,2024,5,Public,18169,1411,0.0777,4941.3,Market Downturn,-4.08,Medium
Twilio,EdTech,USA,2023,4,Public,127885,4340,0.0339,5790.6,Cost Cutting,-1.05,Low
Gorillas,HealthTech,USA,2022,7,Series B,72510,6198,0.0855,121.6,Regulatory Pressure,,Medium
Dropbox,Cloud Computing,USA,2021,11,Series D+,133415,1334,0.01,1231.0,Merger/Acquisition,,Low
Snap,E-Commerce,USA,2023,5,Public,51312,3135,0.0611,6548.0,Regulatory Pressure,1.96,Medium
Twitter/X,FinTech,Germany,2023,6,Series C,16559,1575,0.0951,299.1,Regulatory Pressure,,Medium
Bolt,EdTech,USA,2020,10,Public,86769,14645,0.1688,5433.4,Product Pivot,-1.43,High
Opendoor,FinTech,USA,2022,4,Public,25895,3024,0.1168,5591.3,Market Downturn,-3.23,Medium
Peloton,SaaS,Canada,2024,12,Series D+,20702,3800,0.1836,929.1,IPO Preparation,,High
Snap,Hardware,Netherlands,2023,2,Public,144845,33014,0.2279,1348.7,Cost Cutting,-1.93,High
Uber,Cloud Computing,Canada,2022,10,Private Equity,103735,21229,0.2047,1319.1,IPO Preparation,,High
Wayfair,Cybersecurity,USA,2023,9,Public,46010,7253,0.1576,2031.1,Cost Cutting,1.0,High
Meta,Logistics,Canada,2022,10,Public,88445,10697,0.1209,7556.6,Restructuring,-8.59,Medium
Twitter/X,FinTech,USA,2022,7,Public,71149,2955,0.0415,4878.3,Merger/Acquisition,-8.93,Low
Microsoft,E-Commerce,USA,2022,4,Series B,107223,19213,0.1792,110.7,Restructuring,,High
SAP,E-Commerce,USA,2020,3,Series D+,3381,860,0.2544,1087.0,Regulatory Pressure,,High
LinkedIn,Social Media,Australia,2023,10,Series C,46413,6839,0.1474,350.7,Merger/Acquisition,,Medium
SAP,FinTech,USA,2022,3,Public,112360,30717,0.2734,2742.7,Product Pivot,-1.53,High
Amazon,Logistics,USA,2024,9,Public,85285,852,0.01,4858.2,Restructuring,-1.69,Low
Coinbase,AI/ML,USA,2024,5,Series D+,62957,1741,0.0277,692.7,Product Pivot,,Low
Wayfair,SaaS,France,2022,3,Series B,140228,26421,0.1884,36.3,IPO Preparation,,High
Robinhood,Gaming,India,2023,5,Series A,6241,880,0.1411,29.0,Regulatory Pressure,,Medium
Netflix,Hardware,USA,2023,2,Public,148233,33367,0.2251,4632.9,Over-hiring Post-COVID,-8.3,High
LinkedIn,Logistics,Germany,2024,11,Series D+,97591,11590,0.1188,763.2,Over-hiring Post-COVID,,Medium
Intel,Gaming,UK,2022,4,Series A,29190,1475,0.0506,16.3,Merger/Acquisition,,Medium
Klarna,Gaming,India,2023,10,Series D+,33333,3430,0.1029,1168.5,Merger/Acquisition,,Medium
Better.com,Cybersecurity,USA,2023,2,Series B,103066,1030,0.01,115.1,Restructuring,,Low
Better.com,Social Media,France,2022,2,Public,71740,2131,0.0297,5075.1,Over-hiring Post-COVID,3.85,Low
Gorillas,Logistics,USA,2021,12,Private Equity,107398,21242,0.1978,1740.4,Market Downturn,,High
Intel,Logistics,India,2023,8,Series B,78211,14846,0.1898,82.2,Market Downturn,,High
Google,Cybersecurity,USA,2023,1,Private Equity,39523,5890,0.149,1773.8,IPO Preparation,,Medium
Meta,FinTech,USA,2022,7,Series C,40709,407,0.01,256.0,Market Downturn,,Low
Better.com,FinTech,USA,2023,5,Series D+,94090,8593,0.0913,513.1,IPO Preparation,,Medium
Snap,FinTech,UK,2022,11,Private Equity,87112,1916,0.022,1844.1,Over-hiring Post-COVID,,Low
Unity,HealthTech,USA,2023,8,Public,81022,17348,0.2141,7983.3,Market Downturn,-9.89,High
Dell,Gaming,Australia,2022,1,Public,112154,8221,0.0733,6449.7,Product Pivot,1.05,Medium
Intel,HealthTech,USA,2024,11,Series C,146012,4838,0.0331,410.8,Cost Cutting,,Low
Peloton,Social Media,India,2022,7,Series B,119607,14637,0.1224,95.0,Merger/Acquisition,,Medium
Amazon,Hardware,Australia,2022,5,Series A,139532,9598,0.0688,14.4,Regulatory Pressure,,Medium
Klarna,Cybersecurity,Germany,2020,4,Public,22962,5481,0.2387,7980.3,Restructuring,-15.89,High
Dropbox,Logistics,Canada,2021,7,Series B,18321,1121,0.0612,218.6,IPO Preparation,,Medium
Oracle,SaaS,India,2023,10,Series B,93389,933,0.01,194.1,Product Pivot,,Low
eBay,Gaming,USA,2022,2,Public,89452,894,0.01,4328.4,Market Downturn,-5.51,Low
Lyft,HealthTech,Australia,2024,12,Series D+,118566,13935,0.1175,430.5,Regulatory Pressure,,Medium
Unity,HealthTech,USA,2020,1,Public,79864,5993,0.075,2868.6,Regulatory Pressure,-0.22,Medium
eBay,EdTech,Germany,2022,1,Public,70577,705,0.01,1632.5,Cost Cutting,5.53,Low
Snap,HealthTech,Canada,2022,11,Private Equity,41144,8851,0.2151,1435.6,Restructuring,,High
eBay,Hardware,USA,2020,12,Series C,63143,10947,0.1734,492.7,Product Pivot,,High
Opendoor,AI/ML,USA,2021,1,Series C,13811,1626,0.1177,283.0,Restructuring,,Medium
Spotify,Logistics,UK,2022,12,Private Equity,129966,29781,0.2291,1681.4,IPO Preparation,,High
Microsoft,AI/ML,Australia,2023,5,Series D+,31031,5368,0.173,1240.2,IPO Preparation,,High
Cisco,Logistics,Singapore,2022,10,Series B,15088,817,0.0542,100.6,Merger/Acquisition,,Medium
Unity,Cybersecurity,UK,2023,7,Series D+,49916,1840,0.0369,1451.4,Over-hiring Post-COVID,,Low
Bolt,Logistics,India,2023,2,Series A,143952,26694,0.1854,71.9,IPO Preparation,,High
PayPal,AI/ML,Netherlands,2020,10,Public,149390,22663,0.1517,4737.8,Market Downturn,-4.04,High
Zoom,Logistics,USA,2023,8,Private Equity,22211,2966,0.1336,1153.5,Regulatory Pressure,,Medium
Bolt,Cybersecurity,USA,2024,4,Public,136669,7145,0.0523,6394.5,Product Pivot,0.97,Medium
Snap,Cybersecurity,India,2023,12,Public,116848,19704,0.1686,4305.0,Product Pivot,-1.83,High
Gorillas,Social Media,Australia,2023,3,Series B,22576,1344,0.0596,64.5,Cost Cutting,,Medium
Stripe,Logistics,France,2022,10,Series D+,84774,9481,0.1118,1210.0,Regulatory Pressure,,Medium
LinkedIn,SaaS,USA,2023,11,Series C,58109,13699,0.2358,446.0,Cost Cutting,,High
Klarna,EdTech,USA,2023,8,Series D+,58980,3959,0.0671,849.8,Cost Cutting,,Medium
Klarna,FinTech,USA,2023,2,Series B,7544,75,0.01,59.4,Regulatory Pressure,,Low
Bolt,E-Commerce,USA,2024,11,Public,55986,2004,0.0358,2540.9,Restructuring,1.17,Low
Airbnb,Cybersecurity,USA,2021,11,Public,55662,11107,0.1995,5214.5,Market Downturn,-5.31,High
Wayfair,Cloud Computing,Canada,2020,3,Public,30382,4264,0.1404,4000.3,Restructuring,-2.61,Medium
LinkedIn,FinTech,USA,2023,12,Series D+,54578,5986,0.1097,690.9,Market Downturn,,Medium
Dropbox,Hardware,Australia,2024,3,Public,59234,4695,0.0793,7043.9,Product Pivot,-5.75,Medium
Wayfair,Gaming,USA,2021,10,Series D+,109230,17348,0.1588,1034.6,IPO Preparation,,High
Gorillas,Logistics,Germany,2022,11,Series D+,88485,4607,0.0521,1241.0,IPO Preparation,,Medium
Intel,AI/ML,USA,2020,1,Public,44528,6432,0.1445,3018.8,Restructuring,-5.83,Medium
Dell,E-Commerce,USA,2022,6,Series C,99438,6115,0.0615,258.8,Restructuring,,Medium
Dropbox,Cloud Computing,USA,2023,2,Series A,118819,5725,0.0482,52.1,Restructuring,,Low
PayPal,FinTech,Brazil,2023,1,Public,33043,2280,0.069,5896.2,Over-hiring Post-COVID,-0.76,Medium
Klarna,Logistics,Australia,2022,2,Series C,124779,11226,0.09,483.9,Merger/Acquisition,,Medium
Twilio,Social Media,UK,2022,12,Series C,29862,3466,0.1161,350.5,Regulatory Pressure,,Medium
Oracle,Gaming,USA,2020,6,Series D+,141629,19663,0.1388,1391.4,Market Downturn,,Medium
Netflix,E-Commerce,Singapore,2022,4,Series C,43415,434,0.01,364.8,IPO Preparation,,Low
PayPal,EdTech,USA,2023,6,Series D+,51870,2872,0.0554,1139.9,Market Downturn,,Medium
Shopify,Social Media,USA,2024,12,Series D+,111875,9920,0.0887,696.5,Restructuring,,Medium
Dell,Cloud Computing,Germany,2024,9,Public,142894,34352,0.2404,5028.6,Over-hiring Post-COVID,-5.23,High
Uber,Hardware,Singapore,2020,10,Series C,70312,2362,0.0336,409.3,Restructuring,,Low
Bolt,E-Commerce,USA,2024,12,Series C,34517,4591,0.133,493.6,Market Downturn,,Medium
Intel,Social Media,USA,2023,10,Public,57292,13727,0.2396,6458.5,Merger/Acquisition,5.39,High
Uber,Gaming,Singapore,2023,8,Series D+,129698,1940,0.015,773.4,IPO Preparation,,Low
Intel,EdTech,USA,2023,1,Private Equity,18129,2746,0.1515,2326.4,Merger/Acquisition,,High
Stripe,Social Media,USA,2022,8,Series D+,129114,7206,0.0558,98.6,Regulatory Pressure,,Medium
Spotify,HealthTech,Germany,2022,9,Series D+,139817,11133,0.0796,344.9,Product Pivot,,Medium
Coinbase,EdTech,France,2020,6,Series A,97450,5432,0.0558,50.9,Over-hiring Post-COVID,,Medium
HP,Cloud Computing,UK,2022,10,Series C,65329,4014,0.0615,301.7,Merger/Acquisition,,Medium
Peloton,Hardware,Brazil,2022,5,Series C,11088,3745,0.3378,372.7,Over-hiring Post-COVID,,High
Uber,Gaming,India,2023,6,Series B,132014,24760,0.1876,123.1,Restructuring,,High
SAP,SaaS,USA,2023,6,Series A,105780,22016,0.2081,49.1,Product Pivot,,High
Twitter/X,Logistics,Brazil,2023,9,Series D+,41221,6568,0.1594,539.4,Market Downturn,,High
Klarna,AI/ML,USA,2020,4,Series D+,11099,110,0.01,982.6,Merger/Acquisition,,Low
Intel,AI/ML,USA,2024,2,Series D+,73094,11080,0.1516,1118.2,Merger/Acquisition,,High
PayPal,AI/ML,Germany,2024,11,Private Equity,134511,27686,0.2058,2232.3,Cost Cutting,,High
Zoom,E-Commerce,USA,2023,11,Series C,22649,1171,0.0517,541.6,IPO Preparation,,Medium
Bolt,Cloud Computing,USA,2024,9,Public,128116,25267,0.1972,5488.2,Market Downturn,-0.12,High
Dropbox,Gaming,USA,2023,2,Series A,141780,25002,0.1763,44.4,Merger/Acquisition,,High
SAP,EdTech,USA,2024,10,Series D+,109534,29372,0.2682,312.6,Merger/Acquisition,,High
HP,E-Commerce,France,2020,9,Public,21451,1857,0.0866,3937.2,Market Downturn,2.06,Medium
Peloton,Cloud Computing,Germany,2022,2,Series D+,47266,1521,0.0322,738.2,Product Pivot,,Low
Twitter/X,Logistics,Brazil,2022,12,Series D+,57514,5237,0.0911,1136.1,Over-hiring Post-COVID,,Medium
Klarna,HealthTech,USA,2022,8,Series A,87622,20577,0.2348,30.2,Market Downturn,,High
Dropbox,Gaming,USA,2021,9,Public,9808,98,0.01,6592.7,Over-hiring Post-COVID,-5.42,Low
Unity,AI/ML,USA,2023,12,Series B,59752,597,0.01,119.9,Product Pivot,,Low
Cisco,Social Media,USA,2023,10,Series C,83711,10643,0.1272,278.7,Product Pivot,,Medium
Airbnb,SaaS,USA,2023,9,Public,127034,10746,0.0846,5497.8,Regulatory Pressure,-3.88,Medium
Intel,Gaming,Australia,2021,10,Private Equity,9220,1112,0.1206,1265.3,Restructuring,,Medium
Stripe,Cybersecurity,Netherlands,2024,9,Series D+,126704,24786,0.1956,662.7,Cost Cutting,,High
Snap,Hardware,Brazil,2023,2,Public,80493,6100,0.0758,1590.4,Product Pivot,-17.34,Medium
Oracle,Cloud Computing,USA,2022,4,Series D+,47613,476,0.01,720.7,Regulatory Pressure,,Low
Getir,FinTech,Netherlands,2023,7,Series A,49426,14015,0.2836,32.3,Regulatory Pressure,,High
Spotify,Logistics,USA,2022,12,Public,136964,5508,0.0402,3968.0,Regulatory Pressure,-4.81,Low
Dell,HealthTech,USA,2022,2,Public,26405,931,0.0353,5833.7,Product Pivot,-3.45,Low
Stripe,Logistics,France,2024,1,Public,50885,10599,0.2083,6317.3,Over-hiring Post-COVID,-1.99,High
Robinhood,Gaming,India,2022,3,Public,31153,2780,0.0892,5464.4,Product Pivot,-6.45,Medium
Amazon,FinTech,USA,2023,12,Series B,92365,10615,0.1149,167.8,Market Downturn,,Medium
Twitter/X,Cybersecurity,USA,2024,4,Series D+,126313,20036,0.1586,984.2,Restructuring,,High
Unity,EdTech,USA,2023,8,Public,146371,30252,0.2067,4409.9,Restructuring,-3.97,High
Gorillas,Social Media,Canada,2020,6,Public,15552,1451,0.0933,4074.3,Market Downturn,-2.59,Medium
Getir,FinTech,UK,2021,11,Public,137616,33247,0.2416,5625.6,Merger/Acquisition,-10.07,High
Uber,Cloud Computing,Brazil,2020,2,Private Equity,21881,218,0.01,1844.3,Product Pivot,,Low
Lyft,AI/ML,USA,2023,9,Public,148846,26908,0.1808,7795.7,IPO Preparation,-2.68,High
Meta,Cybersecurity,USA,2022,2,Private Equity,83608,4417,0.0528,2214.7,Cost Cutting,,Medium
Shopify,Social Media,UK,2021,12,Series D+,50392,11579,0.2298,626.7,Regulatory Pressure,,High
Oracle,SaaS,UK,2024,5,Public,92001,12085,0.1314,4796.0,Product Pivot,2.19,Medium
Spotify,HealthTech,USA,2023,12,Series A,83891,5550,0.0662,50.7,Restructuring,,Medium
PayPal,AI/ML,Canada,2022,4,Series D+,18420,3187,0.173,1141.8,Cost Cutting,,High
Microsoft,Gaming,France,2023,7,Series C,17202,3293,0.1915,412.7,IPO Preparation,,High
Bolt,FinTech,Singapore,2023,8,Private Equity,2394,410,0.1714,1461.7,Merger/Acquisition,,High
Salesforce,Social Media,Australia,2020,5,Public,31485,1184,0.0376,2492.0,Over-hiring Post-COVID,-2.43,Low
Peloton,Hardware,France,2022,10,Public,126202,10257,0.0813,3002.1,Over-hiring Post-COVID,-3.98,Medium
Uber,E-Commerce,Germany,2024,5,Series C,74027,8859,0.1197,332.7,IPO Preparation,,Medium
Robinhood,Hardware,Australia,2023,2,Public,147011,17156,0.1167,5684.5,Product Pivot,-4.79,Medium
Snap,EdTech,USA,2023,8,Public,129176,23249,0.18,2802.6,Product Pivot,2.92,High
eBay,Hardware,USA,2022,2,Public,42735,427,0.01,5089.1,Cost Cutting,-4.02,Low
Uber,SaaS,USA,2020,10,Public,25476,3738,0.1467,6262.4,Cost Cutting,-7.8,Medium
Google,EdTech,UK,2022,12,Series B,83143,8048,0.0968,64.7,Merger/Acquisition,,Medium
Dell,Cybersecurity,USA,2022,6,Public,108131,5722,0.0529,7210.0,Product Pivot,-5.02,Medium
Coinbase,HealthTech,Brazil,2022,8,Series D+,57197,3466,0.0606,679.2,Restructuring,,Medium
Netflix,Cybersecurity,USA,2020,6,Series C,70882,7289,0.1028,450.9,Over-hiring Post-COVID,,Medium
Coinbase,E-Commerce,USA,2024,4,Series D+,17151,171,0.01,629.3,Merger/Acquisition,,Low
Lyft,Cloud Computing,UK,2024,4,Public,15133,966,0.0639,2946.7,Regulatory Pressure,-5.8,Medium
Meta,HealthTech,USA,2023,6,Series B,79664,3978,0.0499,98.0,Cost Cutting,,Low
Google,Hardware,USA,2024,4,Public,1069,173,0.1626,4809.7,Regulatory Pressure,-6.27,High
Dell,Logistics,USA,2022,8,Series B,68009,3778,0.0556,101.4,Restructuring,,Medium
